web-scraper-order,web-scraper-start-url,countries
"1531834983-48","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cyprus"
"1531834983-174","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Sweden"
"1531834983-81","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Hungary"
"1531834983-21","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Benin"
"1531834983-18","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Belarus"
"1531834983-9","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Argentina"
"1531834983-137","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Pakistan"
"1531834983-102","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Liberia"
"1531834983-28","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Brunei Darussalam"
"1531834983-56","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Egypt"
"1531834983-117","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mayotte"
"1531834983-77","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Guinea-Bissau"
"1531834983-67","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Gambia"
"1531834983-132","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Nigeria"
"1531834983-158","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Serbia"
"1531834983-73","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Grenada"
"1531834983-17","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Barbados"
"1531834983-148","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Romania"
"1531834983-47","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cuba"
"1531834983-94","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Kenya"
"1531834983-35","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Canada"
"1531834983-75","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Guatemala"
"1531834983-85","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Iran"
"1531834983-173","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Swaziland"
"1531834983-23","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bhutan"
"1531834983-171","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Sudan"
"1531834983-60","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Estonia"
"1531834983-154","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Samoa"
"1531834983-144","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Portugal"
"1531834983-89","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Ivory Coast (Cote d'Ivoire)"
"1531834983-110","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Malaysia"
"1531834983-146","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Qatar"
"1531834983-118","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mexico"
"1531834983-40","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Chile"
"1531834983-24","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bolivia"
"1531834983-62","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Fiji"
"1531834983-155","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Sao Tome and Principe"
"1531834983-114","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Martinique"
"1531834983-31","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Myanmar/Burma"
"1531834983-71","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Great Britain"
"1531834983-14","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bahamas"
"1531834983-198","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Zambia"
"1531834983-169","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Spain"
"1531834983-166","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","South Africa"
"1531834983-131","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Niger"
"1531834983-8","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Antigua & Barbuda"
"1531834983-136","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Pacific Islands"
"1531834983-113","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Malta"
"1531834983-162","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Slovak Republic (Slovakia)"
"1531834983-172","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Suriname"
"1531834983-54","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Dominican Republic"
"1531834983-34","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cameroon"
"1531834983-10","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Armenia"
"1531834983-103","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Libya"
"1531834983-176","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Syria"
"1531834983-127","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Nepal"
"1531834983-76","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Guinea"
"1531834983-3","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Albania"
"1531834983-170","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Sri Lanka"
"1531834983-83","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","India"
"1531834983-95","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Kosovo"
"1531834983-16","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bangladesh"
"1531834983-126","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Namibia"
"1531834983-86","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Iraq"
"1531834983-93","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Kazakhstan"
"1531834983-11","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Australia"
